time,number_of_objects,,,,,,
8/17/2022 07:00,8,,,,,,
8/17/2022 09:00,8,,,,,,
8/17/2022 20:00,8,,,,,,
8/18/2022 08:00,8,,,,,,
8/18/2022 16:00,6,,,,,,
12/23/2022 23:00,2,,,,,,
12/24/2022 00:00,3,,,,,,
12/24/2022 01:00,3,,,,,,
12/24/2022 02:00,10,,,,,,
12/24/2022 03:00,2,,,,,,
12/24/2022 04:00,3,,,,,,
12/24/2022 05:00,1,,,,,,
12/24/2022 06:00,1,,,,,,
12/24/2022 07:00,1,,,,,,
